date,dtemp
2011-10-12,58.875
2011-10-13,58.404255
2011-10-14,64.96875
2011-10-15,56.794117
2011-10-16,57.9375
2011-10-17,55.303032
2011-10-18,54.03125
2011-10-19,55.860466
2011-10-20,61.027027
2011-10-21,54.25
2011-10-22,51.303032
2011-10-23,49.5
2011-10-24,48.026318
2011-10-25,46.171429
2011-10-26,44.5
2011-10-27,36.129631
2011-10-28,35.75
2011-10-29,32.860001
2011-10-30,36.864864
2011-10-31,37.25
2011-11-01,38.421051
2011-11-02,42.484848
2011-11-03,45.90625
2011-11-04,42.617645
2011-11-05,34.84375
2011-11-06,37.636364
2011-11-07,43.21875
2011-11-08,51.5625
2011-11-09,50.477272
2011-11-10,52.11628
2011-11-11,39.916668
2011-11-12,42.3125
2011-11-13,49.96875
2011-11-14,53.375
2011-11-15,53.625
2011-11-16,47.145832
2011-11-17,40.15625
2011-11-18,34.361111
2011-11-19,41.65625
2011-11-20,52.848484
2011-11-21,37.705883
2011-11-22,32.128204
2011-11-23,35.188679
2011-11-24,36.599998
2011-11-25,39.40625
2011-11-26,44.71875
2011-11-27,47.46875
2011-11-28,54.375
2011-11-29,56.688889
2011-11-30,48
2011-12-01,35.25
2011-12-02,34.0625
2011-12-03,33.03125
2011-12-04,43.1875
2011-12-05,48.28125
2011-12-06,48.488888
2011-12-07,37.107143
2011-12-08,33.325581
2011-12-09,35.258064
2011-12-10,32.285713
2011-12-11,27.1875
2011-12-12,29.125
2011-12-13,31.625
2011-12-14,41.3125
2011-12-15,45.9375
2011-12-16,40.9375
2011-12-17,30.125
2011-12-18,18.53125
2011-12-19,32.333332
2011-12-20,33.696968
2011-12-21,42.700001
2011-12-22,45.5
2011-12-23,37.666668
2011-12-24,22.088236
2011-12-25,29.875
2011-12-26,35.205883
2011-12-27,35.545456
2011-12-28,33.666668
2011-12-29,21.5625
2011-12-30,27.875
2011-12-31,35.53125
2012-01-01,42.549999
2012-01-02,34.342106
2012-01-03,17.351351
2012-01-04,13.65625
2012-01-05,26.179487
2012-01-06,33.84375
2012-01-07,38.40625
2012-01-08,33.8125
2012-01-09,29.4375
2012-01-10,35.46875
2012-01-11,31.69697
2012-01-12,34.069443
2012-01-13,32.912281
2012-01-14,21.394737
2012-01-15,6.5
2012-01-16,17.432432
2012-01-17,34
2012-01-18,26.9375
2012-01-19,20.926828
2012-01-20,21.842106
2012-01-21,14.309524
2012-01-22,15.647058
2012-01-23,35.927273
2012-01-24,40.236843
2012-01-25,33.205883
2012-01-26,31.145161
2012-01-27,36.979168
2012-01-28,38.060608
2012-01-29,34.09375
2012-01-30,29.421053
2012-01-31,38.416668
2012-02-01,46.764706
2012-02-02,33.575001
2012-02-03,29.694445
2012-02-04,33.171429
2012-02-05,24.75
2012-02-06,32.588234
2012-02-07,36.15625
2012-02-08,25.375
2012-02-09,31.969696
2012-02-10,31.0625
2012-02-11,29.093023
2012-02-12,15.30303
2012-02-13,25.324324
2012-02-14,31.4375
2012-02-15,36.971428
2012-02-16,33.022728
2012-02-17,38.294117
2012-02-18,33.822224
2012-02-19,31.25
2012-02-20,29.4375
2012-02-21,31.6875
2012-02-22,45
2012-02-23,40.5
2012-02-24,34.509434
2012-02-25,33.615383
2012-02-26,27.0625
2012-02-27,34.71875
2012-02-28,35.4375
2012-02-29,30.423077
2012-03-01,32.402779
2012-03-02,32.863636
2012-03-03,39.585365
2012-03-04,32.5625
2012-03-05,22.764706
2012-03-06,26.75
2012-03-07,46.1875
2012-03-08,56.176472
2012-03-09,35.341465
2012-03-10,29.96875
2012-03-11,42.5
2012-03-12,52.8125
2012-03-13,58.625
2012-03-14,50.909092
2012-03-15,44.666668
2012-03-16,46.128204
2012-03-17,50.833332
2012-03-18,54.416668
2012-03-19,62.375
2012-03-20,64.793106
2012-03-21,63.256409
2012-03-22,65.393936
2012-03-23,62.96875
2012-03-24,50.6875
2012-03-25,46.674999
2012-03-26,42.549999
2012-03-27,35.3125
2012-03-28,47.18182
2012-03-29,42.628571
2012-03-30,41.0625
2012-03-31,40.35294
2012-04-01,42.102566
2012-04-02,43.540539
2012-04-03,44.90625
2012-04-04,46.60606
2012-04-05,39.303032
2012-04-06,42.1875
